-1	-1	-1	-1			1,59
-1	-1	-1	0			1,01
-1	-1	-1	1			-0,05
-1	-1	0,25	-1			3,34
-1	-1	0,25	0			2,29
-1	-1	0,25	1			1,15
-1	-1	1	-1			3,82
-1	-1	1	0			2,79
-1	-1	1	1			2,07
-1	0	-1	-1			1,18
-1	0	-1	0			-0,08
-1	0	-1	1			-1,04
-1	0	0	-1			1,97
-1	0	0	0			1,14
-1	0	0	1			-0,23
-1	0	1	-1			3,07
-1	0	1	0			2,20
-1	0	1	1			1,07
-1	1	-1	-1			0,12
-1	1	-1	0			-1,18
-1	1	-1	1			-2,00
-1	1	0	-1			1,00
-1	1	0	0			0,01
-1	1	0	1			-0,99
-1	1	1	-1			1,92
-1	1	1	0			0,86
-1	1	1	1			0,09
0,25	-1	-1	-1			0,66
0,25	-1	-1	0			1,09
0,25	-1	-1	1			1,29
0,25	-1	0,25	-1			2,01
0,25	-1	0,25	0			2,20
0,25	-1	0,25	1			2,63
0,25	-1	1	-1			2,76
0,25	-1	1	0			2,97
0,25	-1	1	1			3,37
-0,25	0	-1	-1			0,30
-0,25	0	-1	0			0,07
-0,25	0	-1	1			-0,19
-0,25	0	0	-1			1,06
-0,25	0	0	0			1,08
-0,25	0	0	1			0,60
-0,25	0	1	-1			2,27
-0,25	0	1	0			2,36
-0,25	0	1	1			1,84
0	1	-1	-1			-1,12
0	1	-1	0			-0,98
0	1	-1	1			-1,01
0	1	0	-1			-0,13
0	1	0	0			0,01
0	1	0	1			-0,12
0	1	0,25	-1			-0,03
0	1	0,25	0			0,40
0	1	0,25	1			0,54
1	-1	-1	-1			0,19
1	-1	-1	0			0,94
1	-1	-1	1			1,91
1	-1	0	-1			1,00
1	-1	0	0			1,86
1	-1	0	1			2,83
1	-1	1	-1			2,10
1	-1	1	0			2,73
1	-1	1	1			4,07
1	0,25	-1	-1			-1,32
1	0,25	-1	0			0,01
1	0,25	-1	1			0,75
1	0,25	0	-1			0,06
1	0,25	0	0			0,74
1	0,25	0	1			1,92
1	0,25	1	-1			0,62
1	0,25	1	0			1,78
1	0,25	1	1			2,70
1	1	-1	-1			-2,04
1	1	-1	0			-1,05
1	1	-1	1			0,07
1	1	0	-1			-1,00
1	1	0	0			-0,19
1	1	0	1			0,96
1	1	1	-1			-0,11
1	1	1	0			0,92
1	1	1	1			2,08
0	0	0	0			1,28
0	0	0	0			0,97
0	0	0	0			1,16
0	0	0	0			1,22
0	0	0	0			0,96
0	0	0	0			1,15
